Rank,Title,Year,Rating,Runtime,Genre,User Rating,Metacritic
"1,859",One Million B.C.,1940,Approved,80 min,"Adventure, Fantasy, Romance",5.7,
"1,860",Foxtrot Six,2019,TV-MA,114 min,"Action, Drama, Sci-Fi",5.6,
"1,861",I Am Mortal,2021, , ,Sci-Fi, ,
"1,862",The Killer Shrews,1959,Not Rated,69 min,"Horror, Sci-Fi",4.1,
"1,863",Godzilla 2000: Millennium,1999,PG,99 min,"Action, Adventure, Drama",6.1,41
"1,864",Wedlock,I 1991,R,101 min,"Action, Crime, Drama",5.9,
"1,865",Needle in a Timestack,, , ,Sci-Fi, ,
"1,866",Warriors of the Wasteland,1983,R,91 min,"Action, Sci-Fi, Thriller",4.6,
"1,867",Atlantis Interceptors,1983,Unrated,98 min,"Action, Sci-Fi",4.9,
"1,868",Another Time,2018,TV-MA,89 min,"Adventure, Comedy, Romance",4.5,
"1,869",Warning,II,R, ,"Sci-Fi, Thriller", ,
"1,870",Decoys,2004,R,95 min,"Horror, Sci-Fi",4.6,
"1,871",Jurassic City,2015,Not Rated,88 min,"Action, Adventure, Comedy",3.3,
"1,872",Robot Overlords,2014,PG-13,90 min,"Action, Adventure, Sci-Fi",4.6,47
"1,873",Godzilla: King of the Monsters!,1956,Not Rated,80 min,"Action, Horror, Sci-Fi",6.5,60
"1,874",Godzilla: The Planet Eater,2018,TV-14,91 min,"Animation, Action, Adventure",5.1,
"1,875",The Thaw,2009,R,94 min,"Horror, Sci-Fi",5.2,
"1,876",Sand Sharks,2012,R,86 min,"Action, Adventure, Comedy",2.6,
"1,877",The Doll,V 2017,TV-MA,81 min,"Fantasy, Horror, Sci-Fi",2.4,
"1,878",Dead Space,1991,R,72 min,"Horror, Sci-Fi",3.3,
"1,879",The Worthy,2016, ,99 min,"Action, Adventure, Family",5.1,
"1,880","Ebirah, Horror of the Deep",1966,PG,83 min,"Action, Adventure, Sci-Fi",5.5,
"1,881",Doctor X,1932,Unrated,76 min,"Comedy, Crime, Horror",6.4,
"1,882",Spiders,2000,R,94 min,"Horror, Sci-Fi, Thriller",3.9,
"1,883",The Brain That Wouldn't Die,1962,Approved,82 min,"Horror, Sci-Fi",4.4,
"1,884",Minor Premise,2020, ,95 min,"Drama, Sci-Fi, Thriller",5.9,66
"1,885",It Came from Beneath the Sea,1955,Not Rated,79 min,"Horror, Sci-Fi",6.0,
"1,886",The Rift,1990,R,83 min,"Action, Adventure, Horror",4.7,
"1,887",Schlock,1973,PG,80 min,"Comedy, Horror, Sci-Fi",5.7,
"1,888",Jessica Forever,2018,Not Rated,97 min,"Drama, Fantasy, Sci-Fi",4.8,
"1,889",Los Parecidos,2015, ,89 min,"Horror, Mystery, Sci-Fi",5.9,
"1,890",The Asphyx,1972,PG,83 min,"Horror, Sci-Fi",6.3,
"1,891",Dr. Jekyll and Ms. Hyde,1995,PG-13,90 min,"Comedy, Romance, Sci-Fi",4.5,
"1,892",It! the Terror from Beyond Space,1958,Approved,69 min,"Horror, Sci-Fi, Thriller",6.1,
"1,893",Underworld,1985,R,103 min,"Action, Horror, Sci-Fi",4.1,
"1,894",The Monster,1925,Passed,86 min,"Comedy, Horror, Mystery",6.2,
"1,895",El incidente,2014, ,100 min,"Horror, Sci-Fi, Thriller",6.3,
"1,896",King Kong vs. Godzilla,1962, ,97 min,"Adventure, Comedy, Fantasy",6.4,
"1,897",Luis and the Aliens,2018,PG,86 min,"Animation, Adventure, Comedy",6.0,46
"1,898",Patrick,1978,PG,96 min,"Drama, Horror, Sci-Fi",6.1,
"1,899",Dead Trigger,2017,R,91 min,"Action, Horror, Sci-Fi",3.3,
"1,900",The Phoenix Incident,2015,Not Rated,82 min,"Mystery, Sci-Fi, Thriller",5.0,
"1,901",Time Chasers,1994,PG-13,89 min,Sci-Fi,2.4,
"1,902",The Specials,2000,R,82 min,"Action, Comedy, Fantasy",5.8,38
"1,903",House of Frankenstein,1944,Passed,71 min,"Fantasy, Horror, Sci-Fi",6.3,
"1,904",Antibirth,2016,Not Rated,94 min,"Comedy, Horror, Mystery",4.9,56
