Rank,Title,Year,Rating,Runtime,Genre,User Rating,Metacritic
1,The Tomorrow War,2021,PG-13,140 min,"Action, Adventure, Sci-Fi",6.7,45
2,A Quiet Place Part II,2020,PG-13,97 min,"Drama, Horror, Sci-Fi",7.5,71
3,Black Widow,2021,PG-13,133 min,"Action, Adventure, Sci-Fi",7.4,67
4,The Suicide Squad,2021,R, ,"Action, Adventure, Comedy", ,
5,Shang-Chi and the Legend of the Ten Rings,2021, , ,"Action, Adventure, Fantasy", ,
6,America: The Motion Picture,2021,TV-MA,98 min,"Animation, Action, Adventure",5.7,40
7,A Quiet Place,2018,PG-13,90 min,"Drama, Horror, Sci-Fi",7.5,82
8,Infinite,2021,PG-13,106 min,"Action, Sci-Fi, Thriller",5.4,28
9,Tenet,2020,PG-13,150 min,"Action, Sci-Fi, Thriller",7.4,69
10,Army of the Dead,2021,R,148 min,"Action, Crime, Horror",5.8,57
11,Godzilla vs. Kong,2021,PG-13,113 min,"Action, Sci-Fi, Thriller",6.4,59
12,Spider-Man: No Way Home,2021, , ,"Action, Adventure, Sci-Fi", ,
13,Space Jam: A New Legacy,2021,PG,120 min,"Animation, Adventure, Comedy", ,
14,Dune,2021,PG-13, ,"Adventure, Drama, Sci-Fi", ,
15,Zack Snyder's Justice League,2021,R,242 min,"Action, Adventure, Fantasy",8.1,54
16,Avengers: Endgame,2019,PG-13,181 min,"Action, Adventure, Drama",8.4,78
17,Jurassic World: Dominion,2022, , ,"Action, Adventure, Sci-Fi", ,
18,Mortal Kombat,2021,R,110 min,"Action, Adventure, Fantasy",6.2,44
19,Thor: Ragnarok,2017,PG-13,130 min,"Action, Adventure, Comedy",7.9,74
20,Awake,III 2021,TV-MA,96 min,"Action, Adventure, Drama",4.8,35
21,Snake Eyes,2021,PG-13,121 min,"Action, Adventure, Fantasy", ,
22,The Mitchells vs the Machines,2021,PG,113 min,"Animation, Adventure, Comedy",7.7,80
23,The Dead Don't Die,2019,R,104 min,"Comedy, Fantasy, Horror",5.5,53
24,Interstellar,2014,PG-13,169 min,"Adventure, Drama, Sci-Fi",8.6,74
25,Guardians of the Galaxy,2014,PG-13,121 min,"Action, Adventure, Comedy",8.0,76
26,Captain Marvel,2019,PG-13,123 min,"Action, Adventure, Sci-Fi",6.8,64
27,Independence Day,1996,PG-13,145 min,"Action, Adventure, Sci-Fi",7.0,59
28,Eternals,2021, , ,"Action, Adventure, Drama", ,
29,Inception,2010,PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,74
30,The Matrix,1999,R,136 min,"Action, Sci-Fi",8.7,73
31,Alien,1979,R,117 min,"Horror, Sci-Fi",8.4,89
32,Aquaman,2018,PG-13,143 min,"Action, Adventure, Fantasy",6.9,55
33,Chaos Walking,2021,PG-13,109 min,"Action, Adventure, Fantasy",5.7,38
34,Back to the Future,1985,PG,116 min,"Adventure, Comedy, Sci-Fi",8.5,87
35,Voyagers,2021,PG-13,108 min,"Adventure, Sci-Fi, Thriller",5.4,44
36,Transformers: Rise of the Beasts,2022, , ,"Action, Adventure, Sci-Fi", ,
37,Time Walker,1982,PG,83 min,"Horror, Sci-Fi",3.5,
38,Avengers: Infinity War,2018,PG-13,149 min,"Action, Adventure, Sci-Fi",8.4,68
39,Suicide Squad,2016,PG-13,123 min,"Action, Adventure, Fantasy",5.9,40
40,The New Mutants,2020,PG-13,94 min,"Action, Horror, Mystery",5.3,43
41,The Matrix 4,2021, , ,"Action, Sci-Fi", ,
42,Blade Runner 2049,2017,R,164 min,"Action, Drama, Mystery",8.0,81
43,Jurassic Park,1993,PG-13,127 min,"Action, Adventure, Sci-Fi",8.1,68
44,Love and Monsters,I 2020,PG-13,109 min,"Action, Adventure, Comedy",7.0,63
45,Escape Room: Tournament of Champions,2021,PG-13,88 min,"Action, Adventure, Horror",6.4,
46,Free Guy,2021,PG-13,115 min,"Action, Comedy, Sci-Fi", ,
47,Bill & Ted Face the Music,2020,PG-13,91 min,"Adventure, Comedy, Music",6.0,65
48,Spider-Man: Far from Home,2019,PG-13,129 min,"Action, Adventure, Sci-Fi",7.5,69
49,The Hunger Games,2012,PG-13,142 min,"Action, Adventure, Sci-Fi",7.2,68
50,Take Shelter,2011,R,120 min,"Drama, Sci-Fi, Thriller",7.4,85
51,Aliens,1986,R,137 min,"Action, Adventure, Sci-Fi",8.3,84
52,The Purge,I 2013,R,85 min,"Horror, Sci-Fi, Thriller",5.7,41
53,Mad Max: Fury Road,2015,R,120 min,"Action, Adventure, Sci-Fi",8.1,90
54,Men in Black: International,2019,PG-13,114 min,"Action, Adventure, Comedy",5.6,38
55,Escape Room,I 2019,PG-13,99 min,"Action, Adventure, Horror",6.4,48
56,Gemini Man,2019,PG-13,117 min,"Action, Drama, Sci-Fi",5.7,38
57,Black Panther,2018,PG-13,134 min,"Action, Adventure, Sci-Fi",7.3,88
58,Boss Level,2021,TV-MA,94 min,"Action, Mystery, Sci-Fi",6.9,56
59,Doctor Strange in the Multiverse of Madness,2022, , ,"Action, Adventure, Fantasy", ,
60,Venom: Let There Be Carnage,2021, , ,"Action, Sci-Fi, Thriller", ,
61,The Avengers,2012,PG-13,143 min,"Action, Adventure, Sci-Fi",8.0,69
62,Avatar,2009,PG-13,162 min,"Action, Adventure, Fantasy",7.8,83
63,Deadpool,2016,R,108 min,"Action, Adventure, Comedy",8.0,65
64,Terminator 2: Judgment Day,1991,R,137 min,"Action, Sci-Fi",8.5,75
65,Godzilla: King of the Monsters,2019,PG-13,132 min,"Action, Adventure, Fantasy",6.0,48
66,Skylines,2020,R,113 min,"Action, Adventure, Sci-Fi",4.7,46
67,Spider-Man: Into the Spider-Verse,2018,PG,117 min,"Animation, Action, Adventure",8.4,87
68,Dune,1984,PG-13,137 min,"Action, Adventure, Sci-Fi",6.5,39
69,The Prestige,2006,PG-13,130 min,"Drama, Mystery, Sci-Fi",8.5,66
70,Avengers: Age of Ultron,2015,PG-13,141 min,"Action, Adventure, Sci-Fi",7.3,66
71,Spider-Man: Homecoming,2017,PG-13,133 min,"Action, Adventure, Sci-Fi",7.4,73
72,Spider-Man,2002,PG-13,121 min,"Action, Adventure, Sci-Fi",7.3,73
73,Captain America: The First Avenger,2011,PG-13,124 min,"Action, Adventure, Sci-Fi",6.9,66
74,Guardians of the Galaxy Vol. 2,2017,PG-13,136 min,"Action, Adventure, Comedy",7.6,67
75,Arrival,II 2016,PG-13,116 min,"Drama, Sci-Fi",7.9,81
76,Ant-Man,2015,PG-13,117 min,"Action, Adventure, Comedy",7.3,64
77,Iron Man,2008,PG-13,126 min,"Action, Adventure, Sci-Fi",7.9,79
78,Space Jam,1996,PG,88 min,"Animation, Adventure, Comedy",6.4,59
79,Resident Evil: Welcome to Raccoon City,2021, , ,"Action, Horror, Mystery", ,
80,Wonder Woman,2017,PG-13,141 min,"Action, Adventure, Fantasy",7.4,76
81,Star Wars: The Rise Of Skywalker,2019,PG-13,141 min,"Action, Adventure, Fantasy",6.5,53
82,Edge of Tomorrow,2014,PG-13,113 min,"Action, Adventure, Sci-Fi",7.9,71
83,Bumblebee,I 2018,PG-13,114 min,"Action, Adventure, Sci-Fi",6.8,66
84,Deadpool 2,2018,R,119 min,"Action, Adventure, Comedy",7.7,66
85,Watchmen,2009,R,162 min,"Action, Drama, Mystery",7.6,56
86,Ghostbusters,1984,PG,105 min,"Action, Comedy, Fantasy",7.8,71
87,Ex Machina,2014,R,108 min,"Drama, Sci-Fi, Thriller",7.7,78
88,Ready Player One,2018,PG-13,140 min,"Action, Adventure, Sci-Fi",7.4,64
89,Blade Runner,1982,R,117 min,"Action, Sci-Fi, Thriller",8.1,84
90,Jurassic World,2015,PG-13,124 min,"Action, Adventure, Sci-Fi",7.0,59
91,Stargate,1994,PG-13,116 min,"Action, Adventure, Sci-Fi",7.1,42
92,Doctor Strange,2016,PG-13,115 min,"Action, Adventure, Fantasy",7.5,72
93,Rogue One: A Star Wars Story,2016,PG-13,133 min,"Action, Adventure, Sci-Fi",7.8,65
94,The Fifth Element,1997,PG-13,126 min,"Action, Adventure, Sci-Fi",7.7,52
95,Star Wars: Episode IV - A New Hope,1977,PG,121 min,"Action, Adventure, Fantasy",8.6,90
96,Avatar 2,2022, , ,"Action, Adventure, Sci-Fi", ,
97,A.I. Artificial Intelligence,2001,PG-13,146 min,"Drama, Sci-Fi",7.2,65
98,A Clockwork Orange,1971,R,136 min,"Crime, Drama, Sci-Fi",8.3,77
99,The Martian,2015,PG-13,144 min,"Adventure, Drama, Sci-Fi",8.0,80
100,Jurassic World: Fallen Kingdom,2018,PG-13,128 min,"Action, Adventure, Sci-Fi",6.2,51
101,Borderlands,2022, , ,"Action, Adventure, Comedy", ,
102,Black Panther: Wakanda Forever,2022, , ,"Action, Adventure, Drama", ,
103,The Incredible Hulk,2008,PG-13,112 min,"Action, Adventure, Sci-Fi",6.7,61
104,Transformers,2007,PG-13,144 min,"Action, Adventure, Sci-Fi",7.0,61
105,Oxygen,2021,TV-14,100 min,"Drama, Fantasy, Sci-Fi",6.5,67
106,I Am Number Four,2011,PG-13,111 min,"Action, Adventure, Sci-Fi",6.1,36
107,The Terminator,1984,R,107 min,"Action, Sci-Fi",8.0,84
108,Eternal Sunshine of the Spotless Mind,2004,R,108 min,"Drama, Romance, Sci-Fi",8.3,89
109,Captain America: Civil War,2016,PG-13,147 min,"Action, Adventure, Sci-Fi",7.8,75
110,Alita: Battle Angel,2019,PG-13,122 min,"Action, Adventure, Sci-Fi",7.3,53
111,The Predator,2018,R,107 min,"Action, Adventure, Sci-Fi",5.3,48
112,Passengers,I 2016,PG-13,116 min,"Drama, Romance, Sci-Fi",7.0,41
113,Stowaway,2021,TV-MA,116 min,"Drama, Sci-Fi, Thriller",5.6,63
114,The Invisible Man,I 2020,R,124 min,"Drama, Horror, Mystery",7.1,72
115,The Flash,I 2022, , ,"Action, Adventure, Fantasy", ,
116,Transformers: The Last Knight,2017,PG-13,154 min,"Action, Adventure, Sci-Fi",5.2,27
117,Star Wars: Episode I - The Phantom Menace,1999,PG,136 min,"Action, Adventure, Fantasy",6.5,51
118,Justice League,2017,PG-13,120 min,"Action, Adventure, Fantasy",6.1,45
119,Venom,2018,PG-13,112 min,"Action, Adventure, Sci-Fi",6.7,35
120,Donnie Darko,2001,R,113 min,"Drama, Mystery, Sci-Fi",8.0,88
121,Underwater,2020,PG-13,95 min,"Action, Horror, Sci-Fi",5.8,48
122,Spider-Man 4: Fan Film,2021, , ,"Action, Adventure, Drama", ,
123,Star Trek,2009,PG-13,127 min,"Action, Adventure, Sci-Fi",7.9,82
124,Prometheus,I 2012,R,124 min,"Adventure, Mystery, Sci-Fi",7.0,64
125,The Shape of Water,2017,R,123 min,"Adventure, Drama, Fantasy",7.3,87
126,About Time,I 2013,R,123 min,"Comedy, Drama, Fantasy",7.8,55
127,Men in Black,1997,PG-13,98 min,"Action, Adventure, Comedy",7.3,71
128,The Thing,1982,R,109 min,"Horror, Mystery, Sci-Fi",8.1,57
129,G.I. Joe: The Rise of Cobra,2009,PG-13,118 min,"Action, Adventure, Sci-Fi",5.8,32
130,Logan,2017,R,137 min,"Action, Drama, Sci-Fi",8.1,77
131,Iron Man 2,2010,PG-13,124 min,"Action, Adventure, Sci-Fi",7.0,57
132,The Platform,2019,TV-MA,94 min,"Horror, Sci-Fi, Thriller",7.0,73
133,Predator,1987,R,107 min,"Action, Adventure, Sci-Fi",7.8,45
134,Iron Man Three,2013,PG-13,130 min,"Action, Adventure, Sci-Fi",7.1,62
135,Annihilation,2018,R,115 min,"Adventure, Drama, Horror",6.8,79
136,Captain America: The Winter Soldier,2014,PG-13,136 min,"Action, Adventure, Sci-Fi",7.7,70
137,Her,2013,R,126 min,"Drama, Romance, Sci-Fi",8.0,90
138,Morbius,2022,Unrated, ,"Action, Adventure, Drama", ,
139,Bird Box,2018,R,124 min,"Horror, Sci-Fi",6.6,51
140,Star Trek Beyond,2016,PG-13,122 min,"Action, Adventure, Sci-Fi",7.0,68
141,Alien: Covenant,2017,R,122 min,"Horror, Sci-Fi, Thriller",6.4,65
142,Idiocracy,2006,R,84 min,"Adventure, Comedy, Sci-Fi",6.6,66
143,Predestination,I 2014,R,97 min,"Action, Drama, Sci-Fi",7.5,69
144,Kong: Skull Island,2017,PG-13,118 min,"Action, Adventure, Fantasy",6.6,62
145,Man of Steel,2013,PG-13,143 min,"Action, Adventure, Sci-Fi",7.0,55
146,Snowpiercer,2013,R,126 min,"Action, Drama, Sci-Fi",7.1,84
147,28 Days Later...,2002,R,113 min,"Drama, Horror, Sci-Fi",7.6,73
148,Terminator: Dark Fate,2019,R,128 min,"Action, Adventure, Sci-Fi",6.2,54
149,The First Purge,2018,R,97 min,"Action, Horror, Sci-Fi",5.2,54
150,The Purge: Anarchy,2014,R,103 min,"Action, Horror, Sci-Fi",6.4,50
151,2001: A Space Odyssey,1968,G,149 min,"Adventure, Sci-Fi",8.3,84
152,They Live,1988,R,94 min,"Action, Horror, Sci-Fi",7.3,55
153,Hellboy,2019,R,120 min,"Action, Adventure, Fantasy",5.2,31
154,Starship Troopers,1997,R,129 min,"Action, Adventure, Sci-Fi",7.2,51
155,Mobile Suit Gundam: Hathaway,2021,TV-14,95 min,"Animation, Action, Drama",6.9,
156,Glass,2019,PG-13,129 min,"Drama, Sci-Fi, Thriller",6.6,43
157,The Faculty,1998,R,104 min,"Horror, Mystery, Sci-Fi",6.5,61
158,Valerian and the City of a Thousand Planets,2017,PG-13,136 min,"Action, Adventure, Fantasy",6.5,51
159,Ant-Man and the Wasp,2018,PG-13,118 min,"Action, Adventure, Comedy",7.0,70
160,The Purge: Election Year,2016,R,108 min,"Action, Horror, Sci-Fi",6.0,55
161,E.T. the Extra-Terrestrial,1982,PG,115 min,"Family, Sci-Fi",7.8,91
162,X-Men: Apocalypse,2016,PG-13,144 min,"Action, Adventure, Sci-Fi",6.9,52
163,Batman v Superman: Dawn of Justice,2016,PG-13,152 min,"Action, Adventure, Sci-Fi",6.4,44
164,The Maze Runner,2014,PG-13,113 min,"Action, Mystery, Sci-Fi",6.8,57
165,RoboCop,1987,R,102 min,"Action, Crime, Sci-Fi",7.5,67
166,Godzilla,2014,PG-13,123 min,"Action, Adventure, Sci-Fi",6.4,62
167,Galaxy Quest,1999,PG,102 min,"Adventure, Comedy, Sci-Fi",7.3,70
168,Reminiscence,2021,PG-13,148 min,"Mystery, Romance, Sci-Fi", ,
169,Total Recall,1990,R,113 min,"Action, Sci-Fi, Thriller",7.5,57
170,The Chronicles of Riddick,2004,R,119 min,"Action, Adventure, Sci-Fi",6.7,38
171,Upgrade,2018,R,100 min,"Action, Sci-Fi, Thriller",7.5,67
172,The Lobster,2015,R,119 min,"Comedy, Drama, Romance",7.2,82
173,Dredd,2012,R,95 min,"Action, Crime, Sci-Fi",7.1,60
174,The Hunger Games: Catching Fire,2013,PG-13,146 min,"Action, Adventure, Mystery",7.5,76
175,X-Men: Days of Future Past,2014,PG-13,132 min,"Action, Adventure, Sci-Fi",7.9,75
176,Solo: A Star Wars Story,2018,PG-13,135 min,"Action, Adventure, Sci-Fi",6.9,62
177,V for Vendetta,2005,R,132 min,"Action, Drama, Sci-Fi",8.1,62
178,Occupation: Rainfall,2020,R,128 min,"Action, Sci-Fi",5.7,
179,Divergent,2014,PG-13,139 min,"Action, Adventure, Mystery",6.6,48
180,Spaceballs,1987,PG,96 min,"Adventure, Comedy, Sci-Fi",7.1,46
181,The Matrix Reloaded,2003,R,138 min,"Action, Sci-Fi",7.2,62
182,Sonic the Hedgehog,2020,PG,99 min,"Action, Adventure, Comedy",6.5,47
183,Zombieland,2009,R,88 min,"Adventure, Comedy, Fantasy",7.6,73
184,Back to the Future Part II,1989,PG,108 min,"Adventure, Comedy, Sci-Fi",7.8,57
185,Bliss,I 2021,R,103 min,"Drama, Romance, Sci-Fi",5.3,40
186,Star Wars: Episode VII - The Force Awakens,2015,PG-13,138 min,"Action, Adventure, Sci-Fi",7.8,80
187,The Amazing Spider-Man,2012,PG-13,136 min,"Action, Adventure, Fantasy",6.9,66
188,Aquaman and the Lost Kingdom,2022, , ,"Action, Adventure, Fantasy", ,
189,X-Men,2000,PG-13,104 min,"Action, Adventure, Sci-Fi",7.4,64
190,Songbird,II 2020,PG-13,84 min,"Drama, Sci-Fi, Thriller",4.7,27
191,WALL·E,2008,G,98 min,"Animation, Adventure, Family",8.4,95
192,X: First Class,2011,PG-13,131 min,"Action, Adventure, Sci-Fi",7.7,65
193,Star Wars: Episode VIII - The Last Jedi,2017,PG-13,152 min,"Action, Adventure, Fantasy",7.0,84
194,Under the Skin,I 2013,R,108 min,"Drama, Horror, Sci-Fi",6.3,80
195,Thunder Force,2021,PG-13,106 min,"Action, Adventure, Comedy",4.4,34
196,Minority Report,2002,PG-13,145 min,"Action, Crime, Mystery",7.6,80
197,Independence Day: Resurgence,2016,PG-13,120 min,"Action, Adventure, Sci-Fi",5.2,32
198,Cloud Atlas,2012,R,172 min,"Action, Drama, Mystery",7.4,55
199,Big Hero 6,2014,PG,102 min,"Animation, Action, Adventure",7.8,74
200,Life,I 2017,R,104 min,"Horror, Sci-Fi, Thriller",6.6,54
201,Resident Evil,2002,R,100 min,"Action, Horror, Sci-Fi",6.7,33
202,In the Earth,2021,R,107 min,"Horror, Sci-Fi, Thriller",5.2,63
203,Cosmic Sin,2021,R,88 min,"Action, Adventure, Sci-Fi",2.5,9
204,Star Wars: Episode II - Attack of the Clones,2002,PG,142 min,"Action, Adventure, Fantasy",6.5,54
205,Looper,2012,R,113 min,"Action, Drama, Sci-Fi",7.4,84
206,Armageddon,1998,PG-13,151 min,"Action, Adventure, Sci-Fi",6.7,42
207,War of the Worlds,2005,PG-13,116 min,"Adventure, Sci-Fi, Thriller",6.5,73
208,Pacific Rim,2013,PG-13,131 min,"Action, Adventure, Sci-Fi",6.9,65
209,Spider-Man 3,2007,PG-13,139 min,"Action, Adventure, Sci-Fi",6.2,59
210,The Meg,2018,PG-13,113 min,"Action, Horror, Sci-Fi",5.6,46
211,World War Z,2013,PG-13,116 min,"Action, Adventure, Horror",7.0,63
212,Incredibles 2,2018,PG,118 min,"Animation, Action, Adventure",7.6,80
213,Mortal Kombat,1995,PG-13,101 min,"Action, Adventure, Fantasy",5.8,60
214,Ghostbusters: Answer the Call,2016,PG-13,117 min,"Action, Comedy, Fantasy",6.7,60
215,12 Monkeys,1995,R,129 min,"Mystery, Sci-Fi, Thriller",8.0,74
216,Synchronic,2019,R,102 min,"Drama, Sci-Fi, Thriller",6.2,64
217,Batman & Robin,1997,PG-13,125 min,"Action, Sci-Fi",3.8,28
218,The Butterfly Effect,2004,R,113 min,"Drama, Sci-Fi, Thriller",7.6,30
219,X-Men Origins: Wolverine,2009,PG-13,107 min,"Action, Sci-Fi",6.6,40
220,Spider-Man 2,2004,PG-13,127 min,"Action, Adventure, Sci-Fi",7.3,83
221,Mortal Engines,2018,PG-13,128 min,"Action, Adventure, Fantasy",6.1,44
222,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124 min,"Action, Adventure, Fantasy",8.7,82
223,2012,I 2009,PG-13,158 min,"Action, Adventure, Sci-Fi",5.8,49
224,Face/Off,1997,R,138 min,"Action, Crime, Sci-Fi",7.2,82
225,Signs,2002,PG-13,106 min,"Drama, Mystery, Sci-Fi",6.7,59
226,Lucy,I 2014,R,89 min,"Action, Sci-Fi, Thriller",6.4,61
227,The Lost World: Jurassic Park,1997,PG-13,129 min,"Action, Adventure, Sci-Fi",6.6,59
228,10 Cloverfield Lane,2016,PG-13,103 min,"Action, Drama, Horror",7.2,76
229,Bloodshot,2020,PG-13,109 min,"Action, Drama, Sci-Fi",5.7,44
230,Overlord,2018,R,110 min,"Action, Adventure, Horror",6.6,60
231,TRON: Legacy,2010,PG,125 min,"Action, Adventure, Sci-Fi",6.8,49
232,Home,II 2015,PG,94 min,"Animation, Adventure, Comedy",6.6,55
233,Masters of the Universe,1987,PG,106 min,"Action, Adventure, Fantasy",5.4,35
234,Possessor,2020,R,103 min,"Horror, Mystery, Sci-Fi",6.5,72
235,Blade,1998,R,120 min,"Action, Horror, Sci-Fi",7.1,45
236,High-Rise,2015,R,119 min,"Drama, Sci-Fi",5.6,65
237,Star Wars: Episode III - Revenge of the Sith,2005,PG-13,140 min,"Action, Adventure, Fantasy",7.5,68
238,The Day After Tomorrow,2004,PG-13,124 min,"Action, Adventure, Sci-Fi",6.4,47
239,Mad Max,1979,R,88 min,"Action, Adventure, Sci-Fi",6.9,73
240,Green Lantern,2011,PG-13,114 min,"Action, Adventure, Sci-Fi",5.5,39
241,Transformers: Dark of the Moon,2011,PG-13,154 min,"Action, Adventure, Sci-Fi",6.2,42
242,The Marvels,2022, , ,"Action, Adventure, Fantasy", ,
243,Escape from New York,1981,R,99 min,"Action, Adventure, Sci-Fi",7.2,76
244,Pokémon Detective Pikachu,2019,PG,104 min,"Action, Adventure, Comedy",6.6,53
245,Star Wars: Episode VI - Return of the Jedi,1983,PG,131 min,"Action, Adventure, Fantasy",8.3,58
246,Superman Returns,2006,PG-13,154 min,"Action, Sci-Fi",6.0,72
247,Black Adam,2022, , ,"Action, Fantasy, Sci-Fi", ,
248,Ad Astra,2019,PG-13,123 min,"Adventure, Drama, Mystery",6.5,80
249,X-Men: Dark Phoenix,2019,PG-13,113 min,"Action, Adventure, Sci-Fi",5.7,43
250,Unbreakable,2000,PG-13,106 min,"Drama, Mystery, Sci-Fi",7.3,62
251,Riddick,2013,R,119 min,"Action, Sci-Fi, Thriller",6.4,49
252,Children of Men,2006,R,109 min,"Adventure, Drama, Sci-Fi",7.9,84
253,Superman,1978,PG,143 min,"Action, Adventure, Drama",7.3,80
254,Geostorm,2017,PG-13,109 min,"Action, Sci-Fi, Thriller",5.3,21
255,The Mist,2007,R,126 min,"Horror, Sci-Fi, Thriller",7.1,58
256,Weird Science,1985,PG-13,94 min,"Comedy, Romance, Sci-Fi",6.6,46
257,Moon,2009,R,97 min,"Drama, Mystery, Sci-Fi",7.8,67
258,In Time,2011,PG-13,109 min,"Action, Sci-Fi, Thriller",6.7,53
259,Terminator Genisys,2015,PG-13,126 min,"Action, Adventure, Sci-Fi",6.3,38
260,I Am Legend,2007,PG-13,101 min,"Action, Adventure, Drama",7.2,65
261,Monsters,2010,R,94 min,"Adventure, Drama, Romance",6.4,63
262,G.I. Joe: Retaliation,2013,PG-13,110 min,"Action, Adventure, Sci-Fi",5.8,41
263,Battleship,2012,PG-13,131 min,"Action, Adventure, Sci-Fi",5.8,41
264,Ghost in the Shell,2017,PG-13,107 min,"Action, Crime, Drama",6.3,52
265,Guardians of the Galaxy Vol. 3,2023, , ,"Action, Adventure, Comedy", ,
266,The Hunger Games: Mockingjay - Part 2,2015,PG-13,137 min,"Action, Adventure, Sci-Fi",6.6,65
267,Pitch Black,2000,R,109 min,"Action, Horror, Sci-Fi",7.1,49
268,The Amazing Spider-Man 2,2014,PG-13,142 min,"Action, Adventure, Fantasy",6.6,53
269,Vivarium,2019,R,97 min,"Comedy, Horror, Mystery",5.8,64
270,The Rocketeer,1991,PG,108 min,"Action, Adventure, Family",6.5,61
271,Teenage Mutant Ninja Turtles,1990,PG,93 min,"Action, Adventure, Comedy",6.8,51
272,Hulk,2003,PG-13,138 min,"Action, Sci-Fi",5.6,54
273,The Giver,2014,PG-13,97 min,"Drama, Romance, Sci-Fi",6.5,47
274,District 9,2009,R,112 min,"Action, Sci-Fi, Thriller",7.9,81
275,Planet Terror,2007,R,105 min,"Action, Adventure, Comedy",7.0,
276,The Handmaid's Tale,1990,R,108 min,"Drama, Romance, Sci-Fi",6.0,53
277,Oblivion,I 2013,PG-13,124 min,"Action, Adventure, Sci-Fi",7.0,54
278,Bill & Ted's Excellent Adventure,1989,PG,90 min,"Adventure, Comedy, Music",7.0,50
279,Alien 3,1992,R,114 min,"Action, Horror, Sci-Fi",6.5,59
280,The 5th Wave,2016,PG-13,112 min,"Action, Adventure, Sci-Fi",5.2,33
281,Serenity,2005,PG-13,119 min,"Action, Adventure, Sci-Fi",7.8,74
282,Source Code,2011,PG-13,93 min,"Action, Drama, Mystery",7.5,74
283,"Honey, I Shrunk the Kids",1989,PG,93 min,"Adventure, Comedy, Family",6.4,63
284,John Carter,2012,PG-13,132 min,"Action, Adventure, Sci-Fi",6.6,51
285,Transformers: Revenge of the Fallen,2009,PG-13,149 min,"Action, Adventure, Sci-Fi",6.0,35
286,The Hitchhiker's Guide to the Galaxy,2005,PG,109 min,"Adventure, Comedy, Sci-Fi",6.7,63
287,Transformers: Age of Extinction,2014,PG-13,165 min,"Action, Adventure, Sci-Fi",5.6,32
288,Fantastic Four,2015,PG-13,100 min,"Action, Adventure, Sci-Fi",4.2,27
289,Atlantis: The Lost Empire,2001,PG,95 min,"Animation, Action, Adventure",6.9,52
290,Men in Black 3,2012,PG-13,106 min,"Action, Adventure, Comedy",6.8,58
291,Replicas,2018,PG-13,107 min,"Drama, Sci-Fi, Thriller",5.5,19
292,The Darkest Minds,2018,PG-13,104 min,"Action, Adventure, Drama",5.7,39
293,Sky High,2005,PG,100 min,"Adventure, Comedy, Family",6.2,62
294,The Hunger Games: Mockingjay - Part 1,2014,PG-13,123 min,"Action, Adventure, Sci-Fi",6.6,64
295,Super 8,2011,PG-13,112 min,"Mystery, Sci-Fi, Thriller",7.0,72
296,High Life,2018,R,113 min,"Adventure, Drama, Horror",5.8,77
297,The Midnight Sky,2020,PG-13,118 min,"Drama, Fantasy, Sci-Fi",5.6,58
298,The Silence,II 2019,PG-13,90 min,"Drama, Horror, Sci-Fi",5.3,25
299,Color Out of Space,2019,Unrated,111 min,"Horror, Mystery, Sci-Fi",6.2,70
300,Mars Attacks!,1996,PG-13,106 min,"Comedy, Sci-Fi",6.3,52
301,Settlers,2021, ,103 min,Sci-Fi,7.2,
302,Outside the Wire,2021,R,114 min,"Action, Adventure, Fantasy",5.4,45
303,The Cell,2000,R,107 min,"Crime, Horror, Sci-Fi",6.4,40
304,Lightyear,2022, , ,"Animation, Adventure, Family", ,
305,The Happening,2008,R,91 min,"Drama, Mystery, Sci-Fi",5.0,34
306,Gravity,2013,PG-13,91 min,"Drama, Sci-Fi, Thriller",7.7,96
307,Limitless,I 2011,PG-13,105 min,"Sci-Fi, Thriller",7.4,59
308,Coherence,2013,Not Rated,89 min,"Drama, Horror, Mystery",7.2,65
309,Back to the Future Part III,1990,PG,118 min,"Adventure, Comedy, Sci-Fi",7.4,55
310,Demolition Man,1993,R,115 min,"Action, Sci-Fi, Thriller",6.7,34
311,Fire in the Sky,1993,PG-13,109 min,"Biography, Drama, Fantasy",6.5,42
312,Contact,1997,PG,150 min,"Drama, Mystery, Sci-Fi",7.5,62
313,Event Horizon,1997,R,96 min,"Horror, Sci-Fi, Thriller",6.7,35
314,Sunshine,2007,R,107 min,"Sci-Fi, Thriller",7.2,64
315,Elysium,I 2013,R,109 min,"Action, Drama, Sci-Fi",6.6,61
316,Seeking a Friend for the End of the World,2012,R,101 min,"Adventure, Comedy, Drama",6.7,59
317,Brightburn,2019,R,90 min,"Drama, Horror, Mystery",6.1,44
318,Hot Tub Time Machine,2010,R,101 min,"Comedy, Sci-Fi",6.4,63
319,Ant-Man and the Wasp: Quantumania,2023, , ,"Action, Adventure, Comedy", ,
320,Lilo & Stitch,2002,PG,92 min,"Animation, Adventure, Comedy",7.3,73
321,Breach,IV 2020,R,92 min,"Action, Horror, Sci-Fi",3.0,
322,Scoob!,2020,PG,93 min,"Animation, Adventure, Comedy",5.7,43
323,The Manchurian Candidate,2004,R,129 min,"Drama, Mystery, Sci-Fi",6.6,76
324,Star Trek Into Darkness,2013,PG-13,132 min,"Action, Adventure, Sci-Fi",7.7,72
